comb,stopword_options,run,f1
3class_NB,NoStem.,10,0.870688182
3class_NB,NoStem.,11,0.867381994
3class_NB,NoStem.,12,0.865346038
3class_NB,NoStem.,13,0.837600714
3class_NB,NoStem.,14,0.863883029
3class_NB,NoStem.,15,0.85834992
3class_NB,NoStem.,16,0.849891131
3class_NB,NoStem.,17,0.874607063
3class_NB,NoStem.,18,0.834607909
3class_NB,NoStem.,19,0.858702712
3class_NB,NoStem.,20,0.832730733
3class_NB,NoStem.,21,0.873911071
3class_NB,NoStem.,22,0.890192933
3class_NB,NoStem.,23,0.863692932
3class_NB,NoStem.,24,0.903311134
3class_NB,NoStem.,25,0.854496399
3class_NB,NoStem.,26,0.873732719
3class_NB,NoStem.,27,0.864304877
3class_NB,NoStem.,28,0.872454188
3class_NB,NoStem.,29,0.840181042
3class_NB,NoStem.,30,0.858322837
3class_NB,NoStem.,31,0.865822006
3class_NB,NoStem.,32,0.859101629
3class_NB,NoStem.,33,0.886841741
3class_NB,NoStem.,34,0.862079668
3class_NB,NoStem.,35,0.87557188
3class_NB,NoStem.,36,0.826274223
3class_NB,NoStem.,37,0.849878738
3class_NB,NoStem.,38,0.866590605
3class_NB,NoStem.,39,0.855329996
3class_NB,NoStem.,40,0.851171664
3class_NB,NoStem.,41,0.857798601
3class_NB,NoStem.,42,0.87580073
3class_NB,NoStem.,43,0.883744682
3class_NB,NoStem.,44,0.848093078
3class_NB,NoStem.,45,0.880902573
3class_NB,NoStem.,46,0.884764206
3class_NB,NoStem.,47,0.874555442
3class_NB,NoStem.,48,0.861313839
3class_NB,NoStem.,49,0.84872288
3class_NB,NoStem.,50,0.828974893
3class_NB,Stemming,1,0.876659708
3class_NB,Stemming,2,0.851138543
3class_NB,Stemming,3,0.870909535
3class_NB,Stemming,4,0.869926472
3class_NB,Stemming,5,0.863002324
3class_NB,Stemming,6,0.89269722
3class_NB,Stemming,7,0.8673788
3class_NB,Stemming,8,0.882237212
3class_NB,Stemming,9,0.834931102
3class_NB,Stemming,10,0.879747406
3class_NB,Stemming,11,0.875778101
3class_NB,Stemming,12,0.8727936
3class_NB,Stemming,13,0.850137939
3class_NB,Stemming,14,0.920509742
3class_NB,Stemming,15,0.874842032
3class_NB,Stemming,16,0.868212303
3class_NB,Stemming,17,0.89122479
3class_NB,Stemming,18,0.84143984
3class_NB,Stemming,19,0.897844648
3class_NB,Stemming,20,0.850898336
3class_NB,Stemming,21,0.885162158
3class_NB,Stemming,22,0.909173211
3class_NB,Stemming,23,0.882368572
3class_NB,Stemming,24,0.915896427
3class_NB,Stemming,25,0.872501238
3class_NB,Stemming,26,0.887020248
3class_NB,Stemming,27,0.886242961
3class_NB,Stemming,28,0.882556796
3class_NB,Stemming,29,0.863177488
3class_NB,Stemming,30,0.900287055
3class_NB,Stemming,31,0.879313327
3class_NB,Stemming,32,0.880142897
3class_NB,Stemming,33,0.869014069
3class_NB,Stemming,34,0.87660045
3class_NB,Stemming,35,0.887333461
3class_NB,Stemming,36,0.874201389
3class_NB,Stemming,37,0.869764963
3class_NB,Stemming,38,0.873477793
