classifier,features,f1,f5
kNN,121,0.380826813,0.35960018
kNN,127,0.380136393,0.358616132
kNN,132,0.378147389,0.35727947
kNN,138,0.361530082,0.339205899
kNN,144,0.390449621,0.372071545
kNN,149,0.400895736,0.383328896
kNN,155,0.443982673,0.428173719
kNN,160,0.442223132,0.425560993
kNN,166,0.472551978,0.461969547
kNN,171,0.474260994,0.462444315
kNN,178,0.440446895,0.428135236
kNN,184,0.429814606,0.416899761
kNN,188,0.407497936,0.395698347
kNN,193,0.429479822,0.421575653
kNN,202,0.419843082,0.40378667
kNN,205,0.433218649,0.417539097
kNN,210,0.360095891,0.339144116
kNN,217,0.375689582,0.35569579
kNN,221,0.399372522,0.383004438
kNN,229,0.39932016,0.383211223
kNN,233,0.424785807,0.411148402
kNN,238,0.444206,0.431860632
kNN,247,0.467277829,0.457954213
kNN,249,0.472612247,0.463527572
kNN,258,0.545966213,0.545333616
kNN,260,0.545513438,0.559584185
kNN,266,0.595352317,0.618965095
kNN,271,0.614648346,0.643776893
kNN,277,0.615884806,0.644408288
Ridge,5,0.428921644,0.394856375
Ridge,11,0.504952159,0.495042164
Ridge,17,0.539398681,0.540039916
Ridge,24,0.528391724,0.527927847
Ridge,27,0.543426952,0.547120297
Ridge,33,0.578370379,0.58321264
Ridge,40,0.583059028,0.590115031
Ridge,44,0.586771312,0.598498959
Ridge,49,0.584672115,0.595956288
Ridge,55,0.615249984,0.625088035
Ridge,61,0.620927208,0.635563404
Ridge,69,0.622354001,0.634116502
Ridge,72,0.62614541,0.639877044
Ridge,79,0.626863683,0.640437142
Ridge,85,0.629817959,0.642259946
Ridge,88,0.639332119,0.651442252
Ridge,94,0.636041816,0.647475656
Ridge,99,0.631853234,0.643354767
Ridge,105,0.67544246,0.688568971
Ridge,110,0.696850956,0.712808469
Ridge,116,0.685502691,0.699609609
Ridge,121,0.683448945,0.696587579
Ridge,127,0.682810153,0.69607849
Ridge,132,0.679708435,0.692030257
Ridge,138,0.66976737,0.681587649
Ridge,144,0.712638557,0.732363189
Ridge,149,0.715857682,0.735661447
Ridge,155,0.711288479,0.728537885
Ridge,160,0.708652384,0.729586814
Ridge,166,0.702775802,0.720241083
Ridge,171,0.687788966,0.705941656
Ridge,178,0.683387007,0.702866742
Ridge,184,0.682925836,0.702499747
Ridge,188,0.683273412,0.702509291
Ridge,193,0.686408407,0.706825311
Ridge,202,0.695636595,0.715908934
Ridge,205,0.69703847,0.71828767
Ridge,210,0.691341276,0.711616708
Ridge,217,0.692742273,0.71399483
Ridge,221,0.691428503,0.715980841
Ridge,229,0.679940424,0.701432573
Ridge,233,0.688723005,0.712368647
Ridge,238,0.66894816,0.69239222
Ridge,247,0.669474616,0.692867626
Ridge,249,0.668028308,0.692269853
Ridge,258,0.668561001,0.693789989
Ridge,260,0.670338073,0.696421541
Ridge,266,0.667666165,0.694070517
Ridge,271,0.665525584,0.692027943
Ridge,277,0.66539215,0.692409916
SVM,5,0.404940074,0.376708542
SVM,11,0.492536337,0.482428975
SVM,17,0.49870673,0.486747747
SVM,24,0.530156413,0.518100028
SVM,27,0.496740838,0.485003248
SVM,33,0.594318535,0.590546041
SVM,40,0.544857888,0.543214517
SVM,44,0.53606551,0.537645711
SVM,49,0.516608075,0.510486924
SVM,55,0.496265517,0.488833939
SVM,61,0.557358555,0.550974809
SVM,69,0.584955321,0.57794562
SVM,72,0.57521681,0.568626047
SVM,79,0.535512403,0.524526991
SVM,85,0.55761635,0.552391485
SVM,88,0.553487189,0.548352601
SVM,94,0.529434135,0.525255868
SVM,99,0.51306097,0.50810027
SVM,105,0.589508895,0.594316562
SVM,110,0.587291493,0.590351171
SVM,116,0.585992632,0.581674755
SVM,121,0.595675847,0.587797916
SVM,127,0.581264477,0.573788665
SVM,132,0.578268093,0.572189942
SVM,138,0.559968401,0.553847501
SVM,144,0.578161554,0.573244038
SVM,149,0.578672375,0.573570086
SVM,155,0.559667611,0.553848414
SVM,160,0.557063547,0.55447696
SVM,166,0.565167532,0.559698625
SVM,171,0.548757118,0.548014082
SVM,178,0.538331685,0.538688469
SVM,184,0.541423511,0.541563428
SVM,188,0.537639865,0.538081894
SVM,193,0.536465431,0.537060732
SVM,202,0.529416864,0.527303996
SVM,205,0.536073177,0.535860167
SVM,210,0.536734815,0.534375126
SVM,217,0.536386473,0.53758257
SVM,221,0.532518733,0.53713424
SVM,229,0.542131273,0.547400289
SVM,233,0.549037465,0.555971583
SVM,238,0.533494682,0.539252572
SVM,247,0.561666699,0.570834861
SVM,249,0.551347815,0.561645014
SVM,258,0.552992107,0.563430478
SVM,260,0.55529804,0.569775053
SVM,266,0.548277245,0.561467333
SVM,271,0.541745086,0.554955906
SVM,277,0.542805642,0.556331849
Tree,5,0.40511003,0.381412853
Tree,11,0.433911029,0.424989467
Tree,17,0.419286034,0.408818504
Tree,24,0.409211451,0.396825772
Tree,27,0.406474728,0.39623921
Tree,33,0.451433139,0.452731476
Tree,40,0.462731823,0.469172874
Tree,44,0.499203828,0.511077136
Tree,49,0.499203828,0.511077136
Tree,55,0.50599843,0.516108961
Tree,61,0.603936374,0.623243395
Tree,69,0.590615326,0.607792222
Tree,72,0.586939959,0.603143598
Tree,79,0.575509073,0.592065597
Tree,85,0.576975587,0.593142029
Tree,88,0.576950339,0.592523342
Tree,94,0.576950339,0.592523342
Tree,99,0.57783673,0.593034872
Tree,105,0.577928145,0.594175229
Tree,110,0.577928145,0.594175229
Tree,116,0.5587138,0.574803893
Tree,121,0.553818352,0.570908831
Tree,127,0.556303666,0.573712443
Tree,132,0.556303666,0.573712443
Tree,138,0.564140632,0.582018035
Tree,144,0.499544308,0.506598306
Tree,149,0.498058173,0.505075774
Tree,155,0.497547246,0.508544892
Tree,160,0.496606908,0.506974989
Tree,166,0.498129768,0.510083743
Tree,171,0.496038639,0.507546577
Tree,178,0.487978132,0.501808241
Tree,184,0.487978132,0.501808241
Tree,188,0.524596018,0.540801233
Tree,193,0.523700379,0.540283254
Tree,202,0.523700379,0.540283254
Tree,205,0.521896669,0.537634599
Tree,210,0.521896669,0.537634599
Tree,217,0.521896669,0.537634599
Tree,221,0.513100547,0.527457781
Tree,229,0.511669027,0.526027215
Tree,233,0.513100547,0.527457781
Tree,238,0.510345899,0.524780017
Tree,247,0.510345899,0.524780017
Tree,249,0.506132578,0.52021314
Tree,258,0.497295633,0.515421596
Tree,260,0.483502118,0.497789906
Tree,266,0.502712834,0.519414
Tree,271,0.502712834,0.519414
Tree,277,0.458067841,0.474654904
