classifier,features,f1,f5
NaiveBayes,5,0.252113015,0.227019302
NaiveBayes,11,0.48979353,0.474189756
NaiveBayes,17,0.547433206,0.536379349
NaiveBayes,24,0.537340832,0.521460979
NaiveBayes,27,0.56982415,0.556529265
NaiveBayes,33,0.624993749,0.624277906
NaiveBayes,40,0.630077419,0.638944606
NaiveBayes,44,0.714402777,0.726105702
NaiveBayes,49,0.724216867,0.737510158
NaiveBayes,55,0.747402534,0.760031418
NaiveBayes,61,0.747777574,0.759174982
NaiveBayes,69,0.748020544,0.758111872
NaiveBayes,72,0.718362853,0.726626516
NaiveBayes,79,0.728457878,0.736248634
NaiveBayes,85,0.738797223,0.747178823
NaiveBayes,88,0.720481604,0.729337333
NaiveBayes,94,0.721218968,0.728724438
NaiveBayes,99,0.735282736,0.74408162
NaiveBayes,105,0.743584869,0.750473284
NaiveBayes,110,0.745521815,0.753635146
NaiveBayes,116,0.740736943,0.750358354
NaiveBayes,121,0.751861691,0.75751854
NaiveBayes,127,0.747111424,0.751223474
NaiveBayes,132,0.747035503,0.753398106
NaiveBayes,138,0.732406656,0.737812125
NaiveBayes,144,0.778486582,0.787718681
NaiveBayes,149,0.778190753,0.784973562
NaiveBayes,155,0.774215161,0.783002401
NaiveBayes,160,0.767252958,0.778530065
NaiveBayes,166,0.782342204,0.79506179
NaiveBayes,171,0.781510157,0.794231171
NaiveBayes,178,0.783029519,0.796744994
NaiveBayes,184,0.779459836,0.791776612
NaiveBayes,188,0.782057494,0.794980245
NaiveBayes,193,0.778227783,0.791999325
NaiveBayes,202,0.778961148,0.791574199
NaiveBayes,205,0.777135204,0.792073266
NaiveBayes,210,0.771601512,0.786270168
NaiveBayes,217,0.759078336,0.774297765
NaiveBayes,221,0.746576032,0.760306407
NaiveBayes,229,0.739874092,0.754060008
NaiveBayes,233,0.733974089,0.750109175
NaiveBayes,238,0.73397545,0.747493564
NaiveBayes,247,0.735472722,0.74998145
NaiveBayes,249,0.717773283,0.730199926
NaiveBayes,258,0.717305269,0.733380671
NaiveBayes,260,0.711676987,0.728381439
NaiveBayes,266,0.694187569,0.710844712
NaiveBayes,271,0.682107862,0.700458029
NaiveBayes,277,0.681945203,0.701750157
kNN,5,0.334744141,0.32173705
kNN,11,0.356155858,0.351449821
kNN,17,0.404146348,0.396150888
kNN,24,0.436696544,0.429476086
kNN,27,0.429051326,0.422214134
kNN,33,0.46803264,0.462129134
kNN,40,0.485517097,0.493599468
kNN,44,0.446195613,0.451733236
kNN,49,0.429659421,0.428183013
kNN,55,0.429629322,0.427437154
kNN,61,0.432715256,0.433274905
kNN,69,0.431602104,0.428139083
kNN,72,0.371582441,0.365260893
kNN,79,0.390339709,0.386233477
kNN,85,0.403819316,0.395712323
kNN,88,0.351712177,0.340856061
kNN,94,0.318584411,0.308219687
kNN,99,0.313941449,0.301606991
kNN,105,0.347049454,0.332926784
kNN,110,0.318386714,0.312638099
kNN,116,0.376749367,0.357271045
