comb,Options,run,f1_no_feature_selection,f1
8class_NB,neg_bi.,15,0.648410518,0.677366324
8class_NB,neg_bi.,16,0.725112236,0.769624782
8class_NB,neg_bi.,17,0.61890429,0.68184199
8class_NB,neg_bi.,18,0.693806258,0.709228147
8class_NB,neg_bi.,19,0.698819653,0.706140351
8class_NB,neg_bi.,20,0.685875356,0.712189203
8class_NB,neg_bi.,21,0.647645294,0.698503923
8class_NB,neg_bi.,22,0.731379831,0.758963549
8class_NB,neg_bi.,23,0.733469813,0.701587077
8class_NB,neg_bi.,24,0.704023127,0.74737001
8class_NB,neg_bi.,25,0.73808757,0.732953691
8class_NB,neg_bi.,26,0.662449969,0.668943823
8class_NB,neg_bi.,27,0.664036863,0.70765349
8class_NB,neg_bi.,28,0.722641866,0.754587776
8class_NB,neg_bi.,29,0.77789081,0.769260948
8class_NB,neg_bi.,30,0.764403537,0.762933912
8class_NB,neg_bi.,31,0.718333412,0.737352591
8class_NB,neg_bi.,32,0.759315693,0.7654811
8class_NB,neg_bi.,33,0.719625142,0.744011094
8class_NB,neg_bi.,34,0.722937248,0.75297572
8class_NB,neg_bi.,35,0.699391719,0.74090718
8class_NB,neg_bi.,36,0.715441133,0.808834088
8class_NB,neg_bi.,37,0.684388552,0.682245431
8class_NB,neg_bi.,38,0.719406566,0.723865031
8class_NB,neg_bi.,39,0.716491207,0.748650888
8class_NB,neg_bi.,40,0.748606686,0.752752225
8class_NB,neg_bi.,41,0.735611352,0.722407005
8class_NB,neg_bi.,42,0.766122818,0.761202627
8class_NB,neg_bi.,43,0.719066342,0.764465537
8class_NB,neg_bi.,44,0.660783121,0.700924092
8class_NB,neg_bi.,45,0.692396642,0.716196794
8class_NB,neg_bi.,46,0.681283511,0.702423307
8class_NB,neg_bi.,47,0.745900153,0.734534864
8class_NB,neg_bi.,48,0.687309812,0.698412698
8class_NB,neg_bi.,49,0.668505338,0.711126699
8class_NB,neg_bi.,50,0.753352426,0.76942791
8class_NB,trigram,1,0.577387066,0.706979573
8class_NB,trigram,2,0.597660626,0.631534975
8class_NB,trigram,3,0.620217596,0.716128419
8class_NB,trigram,4,0.616008757,0.653714372
8class_NB,trigram,5,0.617299537,0.685252531
8class_NB,trigram,6,0.58292416,0.75042593
8class_NB,trigram,7,0.600224972,0.694800747
8class_NB,trigram,8,0.551089487,0.703228874
8class_NB,trigram,9,0.562194661,0.707720579
8class_NB,trigram,10,0.605363249,0.675362538
8class_NB,trigram,11,0.648616811,0.669269113
8class_NB,trigram,12,0.617215411,0.679605764
8class_NB,trigram,13,0.588951869,0.684691808
8class_NB,trigram,14,0.618961973,0.662572494
8class_NB,trigram,15,0.559722539,0.682359779
8class_NB,trigram,16,0.582879674,0.731989825
8class_NB,trigram,17,0.576207661,0.702342046
8class_NB,trigram,18,0.553173465,0.665271278
8class_NB,trigram,19,0.635036236,0.683972807
8class_NB,trigram,20,0.622111529,0.69002896
8class_NB,trigram,21,0.512444002,0.739298544
8class_NB,trigram,22,0.576585665,0.734179058
8class_NB,trigram,23,0.615667857,0.691770838
8class_NB,trigram,24,0.607871531,0.702006817
8class_NB,trigram,25,0.588406982,0.69307991
8class_NB,trigram,26,0.586891933,0.679773109
8class_NB,trigram,27,0.593816444,0.671905184
8class_NB,trigram,28,0.606742633,0.624117236
8class_NB,trigram,29,0.577478097,0.670439414
8class_NB,trigram,30,0.620835945,0.706963033
8class_NB,trigram,31,0.607034053,0.658353174
8class_NB,trigram,32,0.604098539,0.68365868
8class_NB,trigram,33,0.598634445,0.687855824
8class_NB,trigram,34,0.592855709,0.743773333
8class_NB,trigram,35,0.60912177,0.676770989
8class_NB,trigram,36,0.624194861,0.666468195
8class_NB,trigram,37,0.528958216,0.673309597
8class_NB,trigram,38,0.60804725,0.692005856
8class_NB,trigram,39,0.597664016,0.688101415
8class_NB,trigram,40,0.659038511,0.74569152
8class_NB,trigram,41,0.648166318,0.680797429
8class_NB,trigram,42,0.635784346,0.638360298
8class_NB,trigram,43,0.608553964,0.656029012
8class_NB,trigram,44,0.57105322,0.679247196
8class_NB,trigram,45,0.559634786,0.668349334
8class_NB,trigram,46,0.596201692,0.662101688
8class_NB,trigram,47,0.626033151,0.763980781
8class_NB,trigram,48,0.542824527,0.72321233
8class_NB,trigram,49,0.546624587,0.717242946
8class_NB,trigram,50,0.628241827,0.709968093
3class_NB,unigram,1,0.851700376,0.851700376
3class_NB,unigram,2,0.86350911,0.86350911
3class_NB,unigram,3,0.859201756,0.859201756
3class_NB,unigram,4,0.867648476,0.867648476
3class_NB,unigram,5,0.857419356,0.857419356
3class_NB,unigram,6,0.899691358,0.899691358
3class_NB,unigram,7,0.855400175,0.855400175
3class_NB,unigram,8,0.874415032,0.874415032
3class_NB,unigram,9,0.825473101,0.825473101
3class_NB,unigram,10,0.870688182,0.870688182
3class_NB,unigram,11,0.867381994,0.867381994
3class_NB,unigram,12,0.865346038,0.865346038
3class_NB,unigram,13,0.837600714,0.837600714
3class_NB,unigram,14,0.863883029,0.863883029
3class_NB,unigram,15,0.85834992,0.85834992
3class_NB,unigram,16,0.849891131,0.849891131
3class_NB,unigram,17,0.874607063,0.874607063
3class_NB,unigram,18,0.834607909,0.834607909
3class_NB,unigram,19,0.858702712,0.858702712
3class_NB,unigram,20,0.832730733,0.832730733
3class_NB,unigram,21,0.873911071,0.873911071
3class_NB,unigram,22,0.890192933,0.890192933
3class_NB,unigram,23,0.863692932,0.863692932
3class_NB,unigram,24,0.903311134,0.903311134
3class_NB,unigram,25,0.854496399,0.854496399
3class_NB,unigram,26,0.873732719,0.873732719
3class_NB,unigram,27,0.864304877,0.864304877
3class_NB,unigram,28,0.872454188,0.872454188
3class_NB,unigram,29,0.840181042,0.840181042
3class_NB,unigram,30,0.858322837,0.858322837
3class_NB,unigram,31,0.865822006,0.865822006
3class_NB,unigram,32,0.859101629,0.859101629
3class_NB,unigram,33,0.886841741,0.886841741
3class_NB,unigram,34,0.862079668,0.862079668
3class_NB,unigram,35,0.87557188,0.87557188
3class_NB,unigram,36,0.826274223,0.826274223
3class_NB,unigram,37,0.849878738,0.849878738
3class_NB,unigram,38,0.866590605,0.866590605
3class_NB,unigram,39,0.855329996,0.855329996
3class_NB,unigram,40,0.851171664,0.851171664
3class_NB,unigram,41,0.857798601,0.857798601
3class_NB,unigram,42,0.87580073,0.87580073
3class_NB,unigram,43,0.883744682,0.883744682
3class_NB,unigram,44,0.848093078,0.848093078
3class_NB,unigram,45,0.880902573,0.880902573
3class_NB,unigram,46,0.884764206,0.884764206
3class_NB,unigram,47,0.874555442,0.874555442
3class_NB,unigram,48,0.861313839,0.861313839
3class_NB,unigram,49,0.84872288,0.84872288
3class_NB,unigram,50,0.828974893,0.828974893
3class_NB,bigram,1,0.796810584,0.889054753
3class_NB,bigram,2,0.799995716,0.863789066
3class_NB,bigram,3,0.832123531,0.830300521
3class_NB,bigram,4,0.820055639,0.849656117
3class_NB,bigram,5,0.803285399,0.785000757
3class_NB,bigram,6,0.826161482,0.84869527
3class_NB,bigram,7,0.84107663,0.813037237
3class_NB,bigram,8,0.789414628,0.824646998
3class_NB,bigram,9,0.798932008,0.808576242
3class_NB,bigram,10,0.810495997,0.823910848
3class_NB,bigram,11,0.840335741,0.835454786
3class_NB,bigram,12,0.795839525,0.81989955
3class_NB,bigram,13,0.768635032,0.796274076
3class_NB,bigram,14,0.795199294,0.866407985
3class_NB,bigram,15,0.816723054,0.839553911
3class_NB,bigram,16,0.756531358,0.839640145
3class_NB,bigram,17,0.725728155,0.812536017
3class_NB,bigram,18,0.78657708,0.838024275
3class_NB,bigram,19,0.803431073,0.83410778
3class_NB,bigram,20,0.793369391,0.831082949
3class_NB,bigram,21,0.803928554,0.878848317
3class_NB,bigram,22,0.835246529,0.850709291
3class_NB,bigram,23,0.835351435,0.840439093
3class_NB,bigram,24,0.829988008,0.864439985
3class_NB,bigram,25,0.832867285,0.890617955
3class_NB,bigram,26,0.838164122,0.821521381
3class_NB,bigram,27,0.788944716,0.875200788
3class_NB,bigram,28,0.845847872,0.873690217
3class_NB,bigram,29,0.808850994,0.884113632
3class_NB,bigram,30,0.828175309,0.874610132
3class_NB,bigram,31,0.817604897,0.868927936
3class_NB,bigram,32,0.779318075,0.799018779
3class_NB,bigram,33,0.854160384,0.839249425
3class_NB,bigram,34,0.822007648,0.833012346
3class_NB,bigram,35,0.801690209,0.833745807
3class_NB,bigram,36,0.833393995,0.888521411
3class_NB,bigram,37,0.83086148,0.828094964
3class_NB,bigram,38,0.816877637,0.874404357
3class_NB,bigram,39,0.785783726,0.867286374
3class_NB,bigram,40,0.824749107,0.848851617
3class_NB,bigram,41,0.842618079,0.900886168
3class_NB,bigram,42,0.831149172,0.821571108
3class_NB,bigram,43,0.825387565,0.845313364
3class_NB,bigram,44,0.82179882,0.831111679
3class_NB,bigram,45,0.846934493,0.884030152
3class_NB,bigram,46,0.810435017,0.886887106
3class_NB,bigram,47,0.815164497,0.840786296
3class_NB,bigram,48,0.78904769,0.836720394
3class_NB,bigram,49,0.82826399,0.865109766
3class_NB,bigram,50,0.79613669,0.86589938
3class_NB,neg_bi.,1,0.87139244,0.865618952
3class_NB,neg_bi.,2,0.86437323,0.896143123
3class_NB,neg_bi.,3,0.879664694,0.904035055
3class_NB,neg_bi.,4,0.897095307,0.904394449
3class_NB,neg_bi.,5,0.83587109,0.858663347
3class_NB,neg_bi.,6,0.913407787,0.901708911
3class_NB,neg_bi.,7,0.888985375,0.917597637
3class_NB,neg_bi.,8,0.906423858,0.927602043
3class_NB,neg_bi.,9,0.837794216,0.869014199
3class_NB,neg_bi.,10,0.871181442,0.877251138
3class_NB,neg_bi.,11,0.897376801,0.895764884
3class_NB,neg_bi.,12,0.841116659,0.869599875
3class_NB,neg_bi.,13,0.862012982,0.887876661
3class_NB,neg_bi.,14,0.884882004,0.884882004
3class_NB,neg_bi.,15,0.861254659,0.861254659
3class_NB,neg_bi.,16,0.862489033,0.865212486
3class_NB,neg_bi.,17,0.868060315,0.888020285
3class_NB,neg_bi.,18,0.848409102,0.88963111
3class_NB,neg_bi.,19,0.853379334,0.865992086
3class_NB,neg_bi.,20,0.825148408,0.856343434
3class_NB,neg_bi.,21,0.88067681,0.900928754
3class_NB,neg_bi.,22,0.877606588,0.907328625
3class_NB,neg_bi.,23,0.869080146,0.889666805
3class_NB,neg_bi.,24,0.917647059,0.917647059
3class_NB,neg_bi.,25,0.870134683,0.900075267
3class_NB,neg_bi.,26,0.878939092,0.898824485
3class_NB,neg_bi.,27,0.880954819,0.910645596
3class_NB,neg_bi.,28,0.90060133,0.902252337
3class_NB,neg_bi.,29,0.848495419,0.869974104
3class_NB,neg_bi.,30,0.867316491,0.881637031
3class_NB,neg_bi.,31,0.87425268,0.892255033
3class_NB,neg_bi.,32,0.857351397,0.872911683
3class_NB,neg_bi.,33,0.884001973,0.907361644
3class_NB,neg_bi.,34,0.872944047,0.900637895
3class_NB,neg_bi.,35,0.869202199,0.891323033
3class_NB,neg_bi.,36,0.85486321,0.878765255
3class_NB,neg_bi.,37,0.863077063,0.896651597
3class_NB,neg_bi.,38,0.863749123,0.88561129
3class_NB,neg_bi.,39,0.863865,0.863014976
3class_NB,neg_bi.,40,0.892002515,0.900763791
3class_NB,neg_bi.,41,0.893910592,0.908207815
3class_NB,neg_bi.,42,0.868801629,0.871190411
3class_NB,neg_bi.,43,0.885038949,0.896895554
3class_NB,neg_bi.,44,0.854027228,0.854027228
3class_NB,neg_bi.,45,0.877064354,0.913817546
3class_NB,neg_bi.,46,0.884633709,0.901562116
3class_NB,neg_bi.,47,0.887986455,0.899360686
3class_NB,neg_bi.,48,0.88372121,0.873935903
3class_NB,neg_bi.,49,0.872130722,0.882802629
3class_NB,neg_bi.,50,0.852021427,0.882298253
3class_NB,trigram,1,0.720112532,0.703414289
3class_NB,trigram,2,0.73259694,0.781218781
3class_NB,trigram,3,0.740557297,0.747288912
3class_NB,trigram,4,0.71939331,0.705820762
3class_NB,trigram,5,0.731699852,0.702093915
3class_NB,trigram,6,0.748790894,0.731379285
3class_NB,trigram,7,0.732837519,0.744346368
3class_NB,trigram,8,0.741546969,0.704641542
3class_NB,trigram,9,0.682111777,0.69798382
3class_NB,trigram,10,0.738847596,0.695256956
3class_NB,trigram,11,0.766966581,0.736423737
3class_NB,trigram,12,0.708012094,0.708058289
3class_NB,trigram,13,0.678732086,0.667339316
3class_NB,trigram,14,0.72467959,0.773449646
3class_NB,trigram,15,0.730535352,0.722445342
3class_NB,trigram,16,0.670223288,0.766888394
3class_NB,trigram,17,0.65130083,0.688491596
