comb,Options,run,f1
3class_NB,Baseline,29,0.840181042
3class_NB,Baseline,30,0.858322837
3class_NB,Baseline,31,0.865822006
3class_NB,Baseline,32,0.859101629
3class_NB,Baseline,33,0.886841741
3class_NB,Baseline,34,0.862079668
3class_NB,Baseline,35,0.87557188
3class_NB,Baseline,36,0.826274223
3class_NB,Baseline,37,0.849878738
3class_NB,Baseline,38,0.866590605
3class_NB,Baseline,39,0.855329996
3class_NB,Baseline,40,0.851171664
3class_NB,Baseline,41,0.857798601
3class_NB,Baseline,42,0.87580073
3class_NB,Baseline,43,0.883744682
3class_NB,Baseline,44,0.848093078
3class_NB,Baseline,45,0.880902573
3class_NB,Baseline,46,0.884764206
3class_NB,Baseline,47,0.874555442
3class_NB,Baseline,48,0.861313839
3class_NB,Baseline,49,0.84872288
3class_NB,Baseline,50,0.828974893
3class_NB,POS,1,0.841124315
3class_NB,POS,2,0.739173838
3class_NB,POS,3,0.800310973
3class_NB,POS,4,0.813433613
3class_NB,POS,5,0.767100614
3class_NB,POS,6,0.85541456
3class_NB,POS,7,0.756355873
3class_NB,POS,8,0.820089887
3class_NB,POS,9,0.764735702
3class_NB,POS,10,0.731971518
3class_NB,POS,11,0.806887364
3class_NB,POS,12,0.777099618
3class_NB,POS,13,0.800564804
3class_NB,POS,14,0.847743023
3class_NB,POS,15,0.800704759
3class_NB,POS,16,0.781726687
3class_NB,POS,17,0.808804045
3class_NB,POS,18,0.765797748
3class_NB,POS,19,0.823971891
3class_NB,POS,20,0.773730169
3class_NB,POS,21,0.812106977
3class_NB,POS,22,0.824531047
3class_NB,POS,23,0.833842166
3class_NB,POS,24,0.785029795
3class_NB,POS,25,0.762678405
3class_NB,POS,26,0.822210385
3class_NB,POS,27,0.76110055
3class_NB,POS,28,0.795736557
3class_NB,POS,29,0.795899505
3class_NB,POS,30,0.816167828
3class_NB,POS,31,0.7943752
3class_NB,POS,32,0.773458523
3class_NB,POS,33,0.816692665
3class_NB,POS,34,0.798203911
3class_NB,POS,35,0.81703331
3class_NB,POS,36,0.785575754
3class_NB,POS,37,0.792629738
3class_NB,POS,38,0.814060296
3class_NB,POS,39,0.764242418
3class_NB,POS,40,0.820277891
3class_NB,POS,41,0.830852715
3class_NB,POS,42,0.779628984
3class_NB,POS,43,0.83221689
3class_NB,POS,44,0.779013471
3class_NB,POS,45,0.825115953
3class_NB,POS,46,0.830466625
3class_NB,POS,47,0.790533805
3class_NB,POS,48,0.831177234
3class_NB,POS,49,0.830131923
3class_NB,POS,50,0.784576085
3class_NB,Full,1,0.734787967
3class_NB,Full,2,0.699881094
3class_NB,Full,3,0.676477541
3class_NB,Full,4,0.72496881
3class_NB,Full,5,0.624682394
3class_NB,Full,6,0.753469715
3class_NB,Full,7,0.637092359
3class_NB,Full,8,0.704703315
3class_NB,Full,9,0.707680199
3class_NB,Full,10,0.719290389
3class_NB,Full,11,0.724692874
3class_NB,Full,12,0.722467663
3class_NB,Full,13,0.681774718
3class_NB,Full,14,0.72145484
3class_NB,Full,15,0.677588501
3class_NB,Full,16,0.704816894
3class_NB,Full,17,0.742917259
3class_NB,Full,18,0.694850825
3class_NB,Full,19,0.661294042
3class_NB,Full,20,0.704581033
3class_NB,Full,21,0.760503418
3class_NB,Full,22,0.741462898
3class_NB,Full,23,0.697653744
3class_NB,Full,24,0.74863951
3class_NB,Full,25,0.745667571
3class_NB,Full,26,0.772085714
3class_NB,Full,27,0.733601847
3class_NB,Full,28,0.692388301
3class_NB,Full,29,0.687343285
3class_NB,Full,30,0.744885573
3class_NB,Full,31,0.710132474
3class_NB,Full,32,0.718583235
3class_NB,Full,33,0.761391612
3class_NB,Full,34,0.727027506
3class_NB,Full,35,0.665739537
3class_NB,Full,36,0.669848865
3class_NB,Full,37,0.64910253
3class_NB,Full,38,0.746602913
3class_NB,Full,39,0.726778797
3class_NB,Full,40,0.744744321
3class_NB,Full,41,0.747489157
3class_NB,Full,42,0.738343589
3class_NB,Full,43,0.772934645
3class_NB,Full,44,0.700485332
3class_NB,Full,45,0.717610975
3class_NB,Full,46,0.736458214
3class_NB,Full,47,0.666107266
3class_NB,Full,48,0.723567685
3class_NB,Full,49,0.630525353
3class_NB,Full,50,0.728296128
