comb,stopword_options,run,f1,f5
8class_NB,SelfDefined,11,0.720446049,0.752552481
8class_NB,SelfDefined,12,0.670164648,0.679759118
8class_NB,SelfDefined,13,0.693588253,0.712444383
8class_NB,SelfDefined,14,0.707574486,0.728673293
8class_NB,SelfDefined,15,0.628656864,0.648876822
8class_NB,SelfDefined,16,0.707427298,0.745151774
8class_NB,SelfDefined,17,0.584168206,0.576384463
8class_NB,SelfDefined,18,0.654559132,0.659536388
8class_NB,SelfDefined,19,0.688848551,0.704477949
8class_NB,SelfDefined,20,0.668171988,0.676484983
8class_NB,SelfDefined,21,0.604411385,0.607823096
8class_NB,SelfDefined,22,0.654341015,0.651968781
8class_NB,SelfDefined,23,0.694151909,0.697104747
8class_NB,SelfDefined,24,0.659977784,0.668383417
8class_NB,SelfDefined,25,0.704918362,0.725831103
8class_NB,SelfDefined,26,0.650626657,0.689100277
8class_NB,SelfDefined,27,0.648308252,0.630182098
8class_NB,SelfDefined,28,0.712558136,0.738882358
8class_NB,SelfDefined,29,0.69635592,0.723078845
8class_NB,SelfDefined,30,0.727362401,0.748102584
8class_NB,SelfDefined,31,0.668954014,0.693173067
8class_NB,SelfDefined,32,0.720773323,0.767180422
8class_NB,SelfDefined,33,0.712138462,0.722678913
8class_NB,SelfDefined,34,0.721184254,0.724653019
8class_NB,SelfDefined,35,0.706302374,0.74315699
8class_NB,SelfDefined,36,0.707001395,0.741631554
8class_NB,SelfDefined,37,0.665144384,0.69445625
8class_NB,SelfDefined,38,0.651315568,0.683768326
8class_NB,SelfDefined,39,0.7059236,0.747184554
8class_NB,SelfDefined,40,0.713006554,0.744037298
8class_NB,SelfDefined,41,0.690239939,0.710912886
8class_NB,SelfDefined,42,0.708099035,0.725451419
8class_NB,SelfDefined,43,0.667913741,0.665122025
8class_NB,SelfDefined,44,0.628771356,0.655109074
8class_NB,SelfDefined,45,0.664294814,0.702151455
8class_NB,SelfDefined,46,0.628180563,0.627235564
8class_NB,SelfDefined,47,0.713093756,0.745980049
8class_NB,SelfDefined,48,0.681931309,0.700982399
8class_NB,SelfDefined,49,0.665917699,0.672043565
8class_NB,SelfDefined,50,0.733695652,0.774082569
8class_NB,NoRemoval,1,0.719740634,0.74954982
8class_NB,NoRemoval,2,0.702705689,0.730564094
8class_NB,NoRemoval,3,0.588947425,0.595353605
8class_NB,NoRemoval,4,0.722976239,0.729037382
8class_NB,NoRemoval,5,0.670001689,0.689060818
8class_NB,NoRemoval,6,0.709987039,0.745062178
8class_NB,NoRemoval,7,0.739828109,0.775686281
8class_NB,NoRemoval,8,0.647017605,0.653994617
8class_NB,NoRemoval,9,0.653610413,0.66720538
8class_NB,NoRemoval,10,0.660837881,0.679340365
8class_NB,NoRemoval,11,0.726549024,0.763267895
8class_NB,NoRemoval,12,0.662601209,0.676625479
8class_NB,NoRemoval,13,0.71437474,0.737729535
8class_NB,NoRemoval,14,0.697529926,0.721656776
8class_NB,NoRemoval,15,0.66513091,0.697134598
8class_NB,NoRemoval,16,0.693037795,0.730792281
8class_NB,NoRemoval,17,0.568626425,0.560152933
8class_NB,NoRemoval,18,0.673459621,0.681345612
8class_NB,NoRemoval,19,0.677016406,0.700159696
8class_NB,NoRemoval,20,0.68246357,0.690774545
8class_NB,NoRemoval,21,0.60134385,0.608058608
8class_NB,NoRemoval,22,0.703743509,0.714248946
8class_NB,NoRemoval,23,0.71998493,0.730205841
8class_NB,NoRemoval,24,0.670773467,0.686280922
8class_NB,NoRemoval,25,0.704918362,0.725831103
8class_NB,NoRemoval,26,0.651799181,0.691207385
8class_NB,NoRemoval,27,0.648308252,0.630182098
8class_NB,NoRemoval,28,0.712558136,0.738882358
8class_NB,NoRemoval,29,0.744373757,0.779132679
8class_NB,NoRemoval,30,0.751918942,0.779878293
8class_NB,NoRemoval,31,0.675222496,0.704008817
8class_NB,NoRemoval,32,0.735201446,0.781569264
8class_NB,NoRemoval,33,0.726378754,0.740786988
8class_NB,NoRemoval,34,0.721184254,0.724653019
8class_NB,NoRemoval,35,0.709292803,0.748469403
8class_NB,NoRemoval,36,0.707001395,0.741631554
8class_NB,NoRemoval,37,0.688630491,0.714094319
8class_NB,NoRemoval,38,0.638142659,0.671549035
8class_NB,NoRemoval,39,0.702974195,0.74864577
8class_NB,NoRemoval,40,0.72942071,0.761961304
8class_NB,NoRemoval,41,0.708768995,0.736683475
8class_NB,NoRemoval,42,0.746481113,0.770563126
8class_NB,NoRemoval,43,0.68917249,0.682157427
8class_NB,NoRemoval,44,0.646221376,0.674832647
8class_NB,NoRemoval,45,0.664787446,0.703032515
8class_NB,NoRemoval,46,0.640153049,0.646553979
8class_NB,NoRemoval,47,0.733546381,0.771025492
8class_NB,NoRemoval,48,0.681931309,0.700982399
8class_NB,NoRemoval,49,0.671639462,0.681417103
8class_NB,NoRemoval,50,0.742053999,0.777779768
3class_NB,CommEng,1,0.705165252,
3class_NB,CommEng,2,0.695628375,
3class_NB,CommEng,3,0.705925138,
3class_NB,CommEng,4,0.752071796,
3class_NB,CommEng,5,0.638536853,
3class_NB,CommEng,6,0.726050633,
3class_NB,CommEng,7,0.71612356,
3class_NB,CommEng,8,0.747178618,
3class_NB,CommEng,9,0.691624219,
3class_NB,CommEng,10,0.656556511,
3class_NB,CommEng,11,0.656370656,
3class_NB,CommEng,12,0.689483899,
3class_NB,CommEng,13,0.724776786,
3class_NB,CommEng,14,0.731034094,
3class_NB,CommEng,15,0.670430445,
3class_NB,CommEng,16,0.716565542,
3class_NB,CommEng,17,0.686097049,
3class_NB,CommEng,18,0.740223073,
3class_NB,CommEng,19,0.706280788,
3class_NB,CommEng,20,0.699667737,
3class_NB,CommEng,21,0.750982352,
3class_NB,CommEng,22,0.727284968,
3class_NB,CommEng,23,0.697770048,
3class_NB,CommEng,24,0.772261657,
3class_NB,CommEng,25,0.718436575,
3class_NB,CommEng,26,0.717038225,
3class_NB,CommEng,27,0.674353193,
3class_NB,CommEng,28,0.681581562,
3class_NB,CommEng,29,0.718159973,
3class_NB,CommEng,30,0.781815367,
3class_NB,CommEng,31,0.760744936,
3class_NB,CommEng,32,0.697223048,
3class_NB,CommEng,33,0.713215788,
3class_NB,CommEng,34,0.711326658,
3class_NB,CommEng,35,0.696336091,
3class_NB,CommEng,36,0.716817807,
3class_NB,CommEng,37,0.661658689,
3class_NB,CommEng,38,0.752598414,
3class_NB,CommEng,39,0.68076922,
3class_NB,CommEng,40,0.744399257,
3class_NB,CommEng,41,0.702872484,
3class_NB,CommEng,42,0.700759814,
3class_NB,CommEng,43,0.717914904,
3class_NB,CommEng,44,0.746269015,
3class_NB,CommEng,45,0.740419913,
3class_NB,CommEng,46,0.734718545,
3class_NB,CommEng,47,0.703464151,
3class_NB,CommEng,48,0.728529052,
3class_NB,CommEng,49,0.680083565,
3class_NB,CommEng,50,0.673376414,
3class_NB,Threshold,1,0.843867827,
3class_NB,Threshold,2,0.837824017,
3class_NB,Threshold,3,0.838612353,
3class_NB,Threshold,4,0.818134908,
3class_NB,Threshold,5,0.785849235,
3class_NB,Threshold,6,0.835245063,
3class_NB,Threshold,7,0.796587451,
3class_NB,Threshold,8,0.831331424,
3class_NB,Threshold,9,0.804057166,
3class_NB,Threshold,10,0.796598284,
3class_NB,Threshold,11,0.849012654,
3class_NB,Threshold,12,0.785454545,
3class_NB,Threshold,13,0.795829179,
3class_NB,Threshold,14,0.809909593,
3class_NB,Threshold,15,0.804241549,
3class_NB,Threshold,16,0.787648489,
3class_NB,Threshold,17,0.852826239,
3class_NB,Threshold,18,0.811669716,
3class_NB,Threshold,19,0.811231619,
3class_NB,Threshold,20,0.814839747,
3class_NB,Threshold,21,0.858314155,
3class_NB,Threshold,22,0.810414262,
3class_NB,Threshold,23,0.843923541,
3class_NB,Threshold,24,0.837614728,
3class_NB,Threshold,25,0.802506703,
3class_NB,Threshold,26,0.809896019,
3class_NB,Threshold,27,0.812452075,
3class_NB,Threshold,28,0.824138688,
3class_NB,Threshold,29,0.818882858,
3class_NB,Threshold,30,0.829815859,
3class_NB,Threshold,31,0.811770751,
3class_NB,Threshold,32,0.827839178,
3class_NB,Threshold,33,0.857229465,
3class_NB,Threshold,34,0.836207684,
3class_NB,Threshold,35,0.810789128,
3class_NB,Threshold,36,0.781687793,
3class_NB,Threshold,37,0.812415755,
3class_NB,Threshold,38,0.859922625,
3class_NB,Threshold,39,0.812293724,
3class_NB,Threshold,40,0.836744344,
3class_NB,Threshold,41,0.847266144,
3class_NB,Threshold,42,0.838198037,
3class_NB,Threshold,43,0.811305424,
3class_NB,Threshold,44,0.8505898,
3class_NB,Threshold,45,0.82989557,
3class_NB,Threshold,46,0.842244276,
3class_NB,Threshold,47,0.841480267,
3class_NB,Threshold,48,0.796163445,
3class_NB,Threshold,49,0.810207079,
3class_NB,Threshold,50,0.830917168,
3class_NB,SelfDefined,1,0.838713843,
3class_NB,SelfDefined,2,0.848342017,
3class_NB,SelfDefined,3,0.867548839,
3class_NB,SelfDefined,4,0.871284429,
3class_NB,SelfDefined,5,0.829107736,
3class_NB,SelfDefined,6,0.899691358,
3class_NB,SelfDefined,7,0.842893716,
3class_NB,SelfDefined,8,0.89038418,
3class_NB,SelfDefined,9,0.824126862,
3class_NB,SelfDefined,10,0.849271175,
3class_NB,SelfDefined,11,0.869999414,
3class_NB,SelfDefined,12,0.863280749,
3class_NB,SelfDefined,13,0.820333948,
3class_NB,SelfDefined,14,0.867244416,
3class_NB,SelfDefined,15,0.869395334,
3class_NB,SelfDefined,16,0.830795037,
3class_NB,SelfDefined,17,0.871722465,
3class_NB,SelfDefined,18,0.834607909,
3class_NB,SelfDefined,19,0.881323943,
3class_NB,SelfDefined,20,0.853723487,
3class_NB,SelfDefined,21,0.877536723,
3class_NB,SelfDefined,22,0.879870393,
3class_NB,SelfDefined,23,0.863692932,
3class_NB,SelfDefined,24,0.885386231,
3class_NB,SelfDefined,25,0.8507715,
3class_NB,SelfDefined,26,0.888710325,
3class_NB,SelfDefined,27,0.8538037,
3class_NB,SelfDefined,28,0.843806844,
3class_NB,SelfDefined,29,0.863366595,
3class_NB,SelfDefined,30,0.85928076,
3class_NB,SelfDefined,31,0.853136845,
3class_NB,SelfDefined,32,0.849829997,
3class_NB,SelfDefined,33,0.886841741,
3class_NB,SelfDefined,34,0.854427653,
3class_NB,SelfDefined,35,0.867342298,
3class_NB,SelfDefined,36,0.822865906,
3class_NB,SelfDefined,37,0.864990289,
3class_NB,SelfDefined,38,0.859479454,
3class_NB,SelfDefined,39,0.856649402,
3class_NB,SelfDefined,40,0.843783871,
3class_NB,SelfDefined,41,0.857798601,
3class_NB,SelfDefined,42,0.866420655,
3class_NB,SelfDefined,43,0.874759055,
3class_NB,SelfDefined,44,0.856271476,
3class_NB,SelfDefined,45,0.868250437,
3class_NB,SelfDefined,46,0.893657295,
3class_NB,SelfDefined,47,0.884128745,
3class_NB,SelfDefined,48,0.858516008,
3class_NB,SelfDefined,49,0.84872288,
3class_NB,SelfDefined,50,0.835601849,
3class_NB,NoRemoval,1,0.851700376,
3class_NB,NoRemoval,2,0.86350911,
3class_NB,NoRemoval,3,0.859201756,
3class_NB,NoRemoval,4,0.867648476,
3class_NB,NoRemoval,5,0.857419356,
3class_NB,NoRemoval,6,0.899691358,
3class_NB,NoRemoval,7,0.855400175,
3class_NB,NoRemoval,8,0.874415032,
3class_NB,NoRemoval,9,0.825473101,
3class_NB,NoRemoval,10,0.870688182,
3class_NB,NoRemoval,11,0.867381994,
3class_NB,NoRemoval,12,0.865346038,
3class_NB,NoRemoval,13,0.837600714,
3class_NB,NoRemoval,14,0.863883029,
3class_NB,NoRemoval,15,0.85834992,
3class_NB,NoRemoval,16,0.849891131,
3class_NB,NoRemoval,17,0.874607063,
3class_NB,NoRemoval,18,0.834607909,
3class_NB,NoRemoval,19,0.858702712,
3class_NB,NoRemoval,20,0.832730733,
3class_NB,NoRemoval,21,0.873911071,
3class_NB,NoRemoval,22,0.890192933,
3class_NB,NoRemoval,23,0.863692932,
3class_NB,NoRemoval,24,0.903311134,
